#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: rda
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-02-02
#curie_map: 
# linkml: https://w3id.org/linkml/
# rda: https://example.org/rda/
# dcat: http://www.w3.org/ns/dcat#
# DDI: http://example.org/DDI/
# unknown: http://example.org/unknown/
# B2FIND: http://example.org/B2FIND/
# sosa: http://example.org/sosa/
# DATS: http://example.org/DATS/
# dc: http://purl.org/dc/elements/1.1/
# ISO19115-1: http://example.org/ISO19115-1/
# bioschemas: http://example.org/bioschemas/
# ECRIN: http://example.org/ECRIN/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# Datacite: http://example.org/Datacite/
# Dataverse: http://example.org/Dataverse/
# foaf: http://xmlns.com/foaf/0.1/
# dct: http://example.org/dct/
# CodeMeta: http://example.org/CodeMeta/
# dcterms: https://dublincore.org/specifications/dublin-core/dcmi-terms/#
# EOSC: http://example.org/EOSC/
# owl: http://www.w3.org/2002/07/owl#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
rda:datePublished	datePublished	skos:exactMatch		B2FIND:PublicationYear		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		DDI:distDate		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		ECRIN:Creation		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		CodeMeta:datePublished		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		dct:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		dcterms:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		Datacite:Description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		ISO19115-1:MD_Identification/abstract		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		EOSC:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		Dataverse:Description;		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		DATS:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		dcterms:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		bioschemas:description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		B2FIND:Description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		DDI:abstract		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		ECRIN:Description		skos:exactMatch	rda									
rda:description	description	skos:exactMatch		CodeMeta:description		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		dct:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		dcat:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		Datacite:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo/MD_Distribution/transferOptions		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		EOSC:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		DATS:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		bioschemas:distribution		skos:exactMatch	rda									
rda:distribution	distribution	skos:exactMatch		DDI:distrbtr		skos:exactMatch	rda									
rda:distribution.contentUrl	distribution.contentUrl	skos:exactMatch		dct:accessURL		skos:exactMatch	rda									
rda:distribution.contentUrl	distribution.contentUrl	skos:exactMatch		dcat:downloadURL		skos:exactMatch	rda									
rda:distribution.contentUrl	distribution.contentUrl	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo//online//linkage		skos:exactMatch	rda									
rda:distribution.contentUrl	distribution.contentUrl	skos:exactMatch		EOSC:accessURL		skos:exactMatch	rda									
rda:distribution.contentUrl	distribution.contentUrl	skos:exactMatch		bioschemas:distribution		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		dcterms:format		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		dcat:mediaType		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		Datacite:format		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo/MD_Distribution/transferOptions//distributionFormat		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		dcterms:format		skos:exactMatch	rda									
rda:distribution.encodingFormat	distribution.encodingFormat	skos:exactMatch		bioschemas:encordingFormat		skos:exactMatch	rda									
rda:editor	editor	skos:exactMatch		ISO19115-1:MD_Identification/citation//citedResponsibleParty//name		skos:exactMatch	rda									
rda:editor	editor	skos:exactMatch		CodeMeta:editor		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		dct:format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		dct:format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		Datacite:Format(O)*		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo//transferOptions//distributionFormat//medium//name		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		EOSC:format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		DATS:distribution.format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		dct:format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		DDI:format		skos:exactMatch	rda									
rda:encodingFormat	encodingFormat	skos:exactMatch		CodeMeta:encordingFormat		skos:exactMatch	rda									
rda:fileFormat_(superseded_by_encordingFormat)	fileFormat (superseded by encordingFormat)	skos:exactMatch		dcat:mediaType		skos:exactMatch	rda									
